flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp,dep_date_time,arr_date_time,duracion_vuelo
RYR6457, BOEING 737-800 WINGLETS,2018-04-14,06:50,IBIZA,IBZ,1,Salida prevista a las 06:50,13,17,Chubascos dispersos,,,,-,BRUSELAS /CHARLEROI,CRL,-,-,,,-,-,,2018-04-14 00:18:39,2018-04-14 06:50:00,,
IBE7265, ATR-42/72,2018-04-14,16:00,LA PALMA,SPC,N,Salida prevista a las 16:00,16,21,Cubierto de nubes altas y medias,,6,,-,TENERIFE NORTE,TFN,-,-,,,-,-,,2018-04-14 00:18:38,2018-04-14 16:00:00,,
RYR1102, BOEING 737-800 WINGLETS,2018-04-14,10:55,FUERTEVENTURA,FUE,1,Salida prevista a las 10:55,16,22,Cubierto de nubes altas y medias,,7,,-,BERLIN /SCHONEFELD,SXF,-,-,,,-,-,,2018-04-14 00:18:37,2018-04-14 10:55:00,,
TUI2873, BOEING 737-700,2018-04-14,10:50,FUERTEVENTURA,FUE,1,Salida prevista a las 10:50,16,22,Cubierto de nubes altas y medias,,19,,-,BERLIN /TEGEL,TXL,-,-,,,-,-,,2018-04-14 00:18:36,2018-04-14 10:50:00,,
RYR7522, BOEING 737-800 WINGLETS,2018-04-14,06:55,ALICANTE-ELCHE,ALC,N,Salida prevista a las 06:55,11,18,Nubosidad variable,,,,-,EINDHOVEN,EIN,-,-,,,-,-,,2018-04-14 00:18:34,2018-04-14 06:55:00,,
EZY1514, 32A,2018-04-14,06:10,PALMA DE MALLORCA,PMI,N,Salida prevista a las 06:10,12,17,Lluvia moderada,,,,-,GINEBRA,GVA,-,-,,,-,-,,2018-04-14 00:18:34,2018-04-14 06:10:00,,
TUI2117, BOEING 737-700,2018-04-14,10:30,FUERTEVENTURA,FUE,1,Salida prevista a las 10:30,16,22,Cubierto de nubes altas y medias,,17,,-,DUSSELDORF,DUS,-,-,,,-,-,,2018-04-14 00:18:34,2018-04-14 10:30:00,,
RYR7095, BOEING 737-800 WINGLETS,2018-04-14,22:00,MURCIA-SAN JAVIER,MJV,1,Salida prevista a las 22:00,10,21,Nubosidad variable,,,,-,DUBLIN,DUB,-,-,,,-,-,,2018-04-14 00:18:33,2018-04-14 22:00:00,,
RYR2044, BOEING 737-800 WINGLETS,2018-04-14,06:30,MALAGA-COSTA DEL SOL,AGP,2,Salida prevista a las 06:30,8,16,Nubosidad variable,,,,-,DORTMUND,DTM,-,-,,,-,-,,2018-04-14 00:18:33,2018-04-14 06:30:00,,
TVS2415, BOEING 737-800 WINGLETS,2018-04-14,09:25,LANZAROTE,ACE,1,Salida prevista a las 09:25,17,22,Cubierto de nubes altas y medias,,5,,-,DEAUVILLE,DOL,-,-,,,-,-,,2018-04-14 00:18:33,2018-04-14 09:25:00,,
